source_sitemap,source_url,status,target,locale,reason
"product-sitemap.xml","https://www.petroni.hr/proizvod/lampa-led-okrugla-3w-12v/","308","/product/svjetlo-led-okrugla-3w-12v","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/lampa-led-okrugla-3w-12v/","308","/product/svjetlo-led-okrugla-3w-12v?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/prihvatnik-za-sigurnosnu-sajlu-na-kuki/","308","/product/prihvatnik-za-sigurnosnu-sajlu-na-kuki","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/svjetla-led-kit-zamjena-za-jokon/","308","/product/svjetla-led-kit-zamjena-za-jokon","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/sjetlo-zmigavca-jokon-710-transparent/","308","/product/svjetlo-zmigavca-jokon-710-transparent","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/svjetlo-za-voznju-unatrag-rikverc-svjetlo-jokon/","308","/product/svjetlo-za-voznju-unatrag-rikverc-svjetlo-jokon?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/zavjesa-tamna-fs-700x800/","308","/product/zavjesa-tamna-fs-700x800","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/termozastita-prednjeg-stakla-za-ford-transit-14/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/proizvod/poklopac-cepa-za-vodu-orus/","308","/product/poklopac-cepa-za-vodu-orus","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/poklopac-sa-okvirom-za-uticnice-vode-i-struje/","308","/product/poklopac-sa-okvirom-prikljucak-struje-fap","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/grlo-naljevno-za-vodu-sa-cepom-orus/","308","/product/grlo-naljevno-za-vodu-sa-cepom-orus","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/fiksator-namjestaja-3-kutni-bijeli/","308","/product/fiksator-namjestaja-3-kutni-bijeli","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/prikljucak-za-vodu-vanjski-orus-fap/","308","/product/prikljucak-za-vodu-vanjski-orus-fap","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/sampon-za-pranje-vozila-innolab-pro-5-lit/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/plovak-sa-prikljuckom-za-vodu-vodokotlic/","308","/product/plovak-sa-prikljuckom-za-vodu-vodokotlic?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/plovak-sa-prikljuckom-za-vodu-vodokotlic/","308","/product/plovak-sa-prikljuckom-za-vodu-vodokotlic","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/rollo-mreza-protiv-insekata-dometic-s4-700x600/","308","/product/rollo-mreza-protiv-insekata-dometic-s4-700x600","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/kuhinja-kamperska-cuccinella-quick-plava/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/proizvod/cilindar-i-kljuc-fap-br-20-serija-2000/","308","/product/cilindar-i-kljuc-fap-br-20-serija-2000","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/brava-ulaznih-vrata-fap-130x120-vanjska/","308","/product/brava-ulaznih-vrata-fap-130x120-vanjska","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/cilindar-i-kljuc-fap-br-20-serija-2000-2/","308","/product/cilindar-i-kljuc-fap-br-20-serija-2000-20927","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/brava-zadi-405x405mm-crna/","308","/product/brava-zadi-40-5x40-5mm-crna","",""
"product-sitemap.xml","https://www.petroni.hr/proizvod/cep-gumeni-za-resetku-plamenika-dometic-cramer/","308","/product/cep-gumeni-za-resetku-plamenika-dometic-cramer","",""
"product-sitemap.xml","https://www.petroni.hr/en/product/rucka-vrata-elementa-namjestaja-v433-genesis-st/","308","/product/rucka-vrata-elementa-namjestaja-v433-genesis-st?lang=en","en",""
